event_id,family,year,era,measure,cost,stop_usd,rl,rs
NFP_2016-05-06,NFP,2016,2013-19,S1_ATR_D1,base,3.265198762364239,2.750408797012143,-1.3925242935924342
CPI_2016-05-17,CPI,2016,2013-19,S1_ATR_D1,base,3.1584861342802464,-0.6870902254235729,0.24943438612871133
NFP_2016-06-03,NFP,2016,2013-19,S1_ATR_D1,base,2.539529818392407,3.630826199881664,-3.2499750702769545
NFP_2016-07-08,NFP,2016,2013-19,S1_ATR_D1,base,4.14189203220067,-2.9396689979702098,4.4140958426397825
CPI_2016-07-15,CPI,2016,2013-19,S1_ATR_D1,base,3.5283347984688644,-1.0948275236454499,0.8655873448646407
NFP_2016-08-05,NFP,2016,2013-19,S1_ATR_D1,base,2.6652084530245217,-1.3663412878146928,2.7125141531785757
CPI_2016-08-16,CPI,2016,2013-19,S1_ATR_D1,base,2.7739630416675283,0.7583673857224597,-1.2340888644075227
NFP_2016-09-02,NFP,2016,2013-19,S1_ATR_D1,base,2.164616630557413,-3.5432764128882033,-1.2398662248606238
CPI_2016-09-16,CPI,2016,2013-19,S1_ATR_D1,base,2.3775804267120773,-2.2268079516960704,0.5632133344283415
NFP_2016-10-07,NFP,2016,2013-19,S1_ATR_D1,base,2.4528907008885366,1.6042775565068894,-1.3556994197887076
CPI_2016-10-18,CPI,2016,2013-19,S1_ATR_D1,base,2.3903744055818175,0.5978062878615995,-1.6422193698333558
NFP_2016-11-04,NFP,2016,2013-19,S1_ATR_D1,base,2.098235607639008,-1.2704762707746253,-1.2966887703622914
CPI_2016-11-17,CPI,2016,2013-19,S1_ATR_D1,base,3.97677010292865,-0.48585067780943825,0.09980047619743053
NFP_2016-12-02,NFP,2016,2013-19,S1_ATR_D1,base,2.7846227679755966,-0.8322994506305923,-2.483690099620856
CPI_2016-12-15,CPI,2016,2013-19,S1_ATR_D1,base,2.694891868382369,-0.19088025610045278,-0.27511369146138537
