event_id,family,year,era,entry,stop,cost,stop_usd,rl,rs
NFP_2018-08-03,NFP,2018,2013-19,m60,10.0,base,10.0,0.12937678999999208,-0.2584232099999781
CPI_2018-08-10,CPI,2018,2013-19,m60,10.0,base,10.0,-0.059932650000041575,-0.05793265000002066
NFP_2018-09-07,NFP,2018,2013-19,m60,10.0,base,10.0,-0.2691646550000087,0.13693534500000623
CPI_2018-09-13,CPI,2018,2013-19,m60,10.0,base,10.0,0.05324120000000221,-0.16415880000004107
NFP_2018-10-05,NFP,2018,2013-19,m60,10.0,base,10.0,0.11627594999999928,-0.25472405000000437
CPI_2018-10-11,CPI,2018,2013-19,m60,10.0,base,10.0,0.08010748499998499,-0.195992514999989
NFP_2018-11-02,NFP,2018,2013-19,m60,10.0,base,10.0,-0.20724878500002433,0.03375121499998386
CPI_2018-11-14,CPI,2018,2013-19,m60,10.0,base,10.0,0.05058850000000348,-0.18941149999998289
NFP_2018-12-07,NFP,2018,2013-19,m60,10.0,base,10.0,0.26515245000000504,-0.43014755000001514
CPI_2018-12-12,CPI,2018,2013-19,m60,10.0,base,10.0,-0.0648502649999955,-0.09485026500001367
CPI_2019-01-11,CPI,2019,2013-19,m60,10.0,base,10.0,0.0328782849999925,-0.1835217149999835
NFP_2019-02-01,NFP,2019,2013-19,m60,10.0,base,10.0,-0.16401419999997416,0.011985800000002201
NFP_2019-03-08,NFP,2019,2013-19,m60,10.0,base,10.0,0.4836218149999695,-0.609678185000007
CPI_2019-03-12,CPI,2019,2013-19,m60,10.0,base,10.0,-0.015869185000042307,-0.13886918500004414
NFP_2019-04-05,NFP,2019,2013-19,m60,10.0,base,10.0,-0.05168780000001334,-0.1156878000000006
CPI_2019-04-10,CPI,2019,2013-19,m60,10.0,base,10.0,0.04907104999999774,-0.211928950000015
NFP_2019-05-03,NFP,2019,2013-19,m60,10.0,base,10.0,-0.23161891499999002,0.07338108499998271
NFP_2019-06-07,NFP,2019,2013-19,m60,10.0,base,10.0,0.3628274999999803,-0.5431725000000143
CPI_2019-06-12,CPI,2019,2013-19,m60,10.0,base,10.0,0.19826641499998915,-0.3437335849999954
NFP_2019-07-05,NFP,2019,2013-19,m60,10.0,base,10.0,-0.9219306999999844,0.7320693000000119
CPI_2019-07-11,CPI,2019,2013-19,m60,10.0,base,10.0,-0.5776443850000078,0.4170556149999811
NFP_2019-08-02,NFP,2019,2013-19,m60,10.0,base,10.0,0.06233039999999619,-0.25866959999998473
CPI_2019-08-13,CPI,2019,2013-19,m60,10.0,base,10.0,-0.12658334999998716,-0.03328335000001061
NFP_2019-09-06,NFP,2019,2013-19,m60,10.0,base,10.0,0.5984946499999978,-1.047555350000016
CPI_2019-09-12,CPI,2019,2013-19,m60,10.0,base,10.0,-0.11708309999999074,-0.046083100000009834
NFP_2019-10-04,NFP,2019,2013-19,m60,10.0,base,10.0,-0.2953444499999932,0.09895554999998239
CPI_2019-10-10,CPI,2019,2013-19,m60,10.0,base,10.0,-0.11344390000001567,-0.07814390000000912
NFP_2019-11-01,NFP,2019,2013-19,m60,10.0,base,10.0,-0.6538633499999833,0.4914366499999915
NFP_2019-12-06,NFP,2019,2013-19,m60,10.0,base,10.0,-1.095768599999974,0.8447814000000335
CPI_2019-12-11,CPI,2019,2013-19,m60,10.0,base,10.0,-0.14611660000000484,-0.0114165999999841
NFP_2020-01-10,NFP,2020,2020-22,m60,10.0,base,10.0,0.49971839999996065,-0.680281600000012
CPI_2020-01-14,CPI,2020,2020-22,m60,10.0,base,10.0,0.16156240000002525,-0.3324375999999802
NFP_2020-02-07,NFP,2020,2020-22,m60,10.0,base,10.0,-0.3243985499999781,0.14890144999997118
CPI_2020-02-13,CPI,2020,2020-22,m60,10.0,base,10.0,-0.09413230000002386,-0.0761323000000175
NFP_2020-03-06,NFP,2020,2020-22,m60,10.0,base,10.0,-1.1295068350000066,0.3223931649999713
CPI_2020-03-11,CPI,2020,2020-22,m60,10.0,base,10.0,-0.15123089999999592,-0.021530900000016118
NFP_2020-04-03,NFP,2020,2020-22,m60,10.0,base,10.0,-0.33747514999997746,-0.45047514999996563
NFP_2020-05-08,NFP,2020,2020-22,m60,10.0,base,10.0,-0.43448700000001284,0.10051299999997809
CPI_2020-05-12,CPI,2020,2020-22,m60,10.0,base,10.0,-0.021565850000024513,-0.17186585000001742
NFP_2020-06-05,NFP,2020,2020-22,m60,10.0,base,10.0,-1.0596204999999828,0.6065294999999878
CPI_2020-06-10,CPI,2020,2020-22,m60,10.0,base,10.0,-0.1774833999999828,0.012816600000019208
NFP_2020-07-02,NFP,2020,2020-22,m60,10.0,base,10.0,-0.3234723000000031,0.0025276999999960027
CPI_2020-07-14,CPI,2020,2020-22,m60,10.0,base,10.0,0.0192055499999924,-0.26079445000002577
NFP_2020-08-07,NFP,2020,2020-22,m60,10.0,base,10.0,-0.3912482000000182,0.1340518000000202
CPI_2020-08-12,CPI,2020,2020-22,m60,10.0,base,10.0,-0.4807587650000187,0.279241234999995
NFP_2020-09-04,NFP,2020,2020-22,m60,10.0,base,10.0,-0.39098298499998235,-1.2687329849999514
CPI_2020-09-11,CPI,2020,2020-22,m60,10.0,base,10.0,-0.07774555000000874,-0.12074554999999236
NFP_2020-10-02,NFP,2020,2020-22,m60,10.0,base,10.0,-0.12438769999996566,-0.09738769999996748
CPI_2020-10-13,CPI,2020,2020-22,m60,10.0,base,10.0,-0.05366423499999655,-0.1449642349999749
NFP_2020-11-06,NFP,2020,2020-22,m60,10.0,base,10.0,-0.45535995000000185,0.21464005000002545
CPI_2020-11-12,CPI,2020,2020-22,m60,10.0,base,10.0,-0.20916653500000848,0.03953346499995405
NFP_2020-12-04,NFP,2020,2020-22,m60,10.0,base,10.0,0.2586782849999736,-0.48032171499999093
CPI_2020-12-10,CPI,2020,2020-22,m60,10.0,base,10.0,0.13276583500000924,-0.3329341649999833
NFP_2021-01-08,NFP,2021,2020-22,m60,10.0,base,10.0,-0.14969380000000002,-0.06979380000002493
CPI_2021-01-13,CPI,2021,2020-22,m60,10.0,base,10.0,0.1846121999999923,-0.3890878000000157
NFP_2021-02-05,NFP,2021,2020-22,m60,10.0,base,10.0,0.4296780500000068,-0.6870219499999848
CPI_2021-02-10,CPI,2021,2020-22,m60,10.0,base,10.0,0.26852389999999104,-0.49477610000001276
NFP_2021-03-05,NFP,2021,2020-22,m60,10.0,base,10.0,-0.6357580199999802,0.4110419800000045
CPI_2021-03-10,CPI,2021,2020-22,m60,10.0,base,10.0,0.1918742449999627,-0.3737257550000095
CPI_2021-04-13,CPI,2021,2020-22,m60,10.0,base,10.0,-0.14457596500001274,-0.048275965000016186
NFP_2021-05-07,NFP,2021,2020-22,m60,10.0,base,10.0,0.8359154850000096,-1.0661345150000217
CPI_2021-05-12,CPI,2021,2020-22,m60,10.0,base,10.0,-1.0886436999999887,1.0678063000000066
NFP_2021-06-04,NFP,2021,2020-22,m60,10.0,base,10.0,0.8745533999999907,-1.0213465999999927
CPI_2021-06-10,CPI,2021,2020-22,m60,10.0,base,10.0,-0.5150607499999978,0.2779392500000085
NFP_2021-07-02,NFP,2021,2020-22,m60,10.0,base,10.0,-0.45506666499998116,0.237233335000019
CPI_2021-07-13,CPI,2021,2020-22,m60,10.0,base,10.0,-1.0929396500000166,0.7521103499999982
NFP_2021-08-06,NFP,2021,2020-22,m60,10.0,base,10.0,-1.0846923000000062,0.753657700000008
CPI_2021-08-11,CPI,2021,2020-22,m60,10.0,base,10.0,0.1662896499999988,-0.37401034999998045
NFP_2021-09-03,NFP,2021,2020-22,m60,10.0,base,10.0,0.7505589500000042,-1.1503410499999973
CPI_2021-09-14,CPI,2021,2020-22,m60,10.0,base,10.0,0.2531029299999773,-0.3961970700000165
NFP_2021-10-08,NFP,2021,2020-22,m60,10.0,base,10.0,0.5311328500000172,-1.1731171499999846
CPI_2021-10-13,CPI,2021,2020-22,m60,10.0,base,10.0,-0.026802574999987883,-0.15730257499999425
NFP_2021-11-05,NFP,2021,2020-22,m60,10.0,base,10.0,-0.3224163800000269,0.10618362000000162
CPI_2021-11-10,CPI,2021,2020-22,m60,10.0,base,10.0,-0.4915801500000043,0.28941985000001297
NFP_2021-12-03,NFP,2021,2020-22,m60,10.0,base,10.0,0.7888185099999874,-1.0665814899999533
CPI_2021-12-10,CPI,2021,2020-22,m60,10.0,base,10.0,-0.012191449999977521,-0.18749144999999318
NFP_2022-01-07,NFP,2022,2020-22,m60,10.0,base,10.0,0.26185290000000805,-0.46904709999996613
CPI_2022-01-12,CPI,2022,2020-22,m60,10.0,base,10.0,-0.22994935000001532,0.04015065000003233
NFP_2022-02-04,NFP,2022,2020-22,m60,10.0,base,10.0,-0.7128839050000352,0.5152160950000052
CPI_2022-02-10,CPI,2022,2020-22,m60,10.0,base,10.0,-0.6587083500000063,0.46369164999996426
NFP_2022-03-04,NFP,2022,2020-22,m60,10.0,base,10.0,0.01526059999998779,-0.1977394000000004
CPI_2022-03-10,CPI,2022,2020-22,m60,10.0,base,10.0,0.03687749999999142,-0.23972249999999348
NFP_2022-04-01,NFP,2022,2020-22,m60,10.0,base,10.0,-0.2149008599999888,0.004699140000002444
CPI_2022-04-12,CPI,2022,2020-22,m60,10.0,base,10.0,0.3622371799999883,-0.5369628200000307
NFP_2022-05-06,NFP,2022,2020-22,m60,10.0,base,10.0,0.2688570000000027,-0.4901429999999891
CPI_2022-05-11,CPI,2022,2020-22,m60,10.0,base,10.0,-0.6216035200000078,0.4457964800000127
NFP_2022-06-03,NFP,2022,2020-22,m60,10.0,base,10.0,-0.030831820000003063,-0.23523181999998996
CPI_2022-06-10,CPI,2022,2020-22,m60,10.0,base,10.0,-0.34193315499999244,0.18286684499998956
