event_id,family,t0_utc,year,U,sl_usd,R_long,R_short,R_long_cons,R_short_cons,stop_long,stop_short,a_move,a_range,a_spread_m10,unit_atr_m1_60,range_over_atr
NFP_2023-08-04,NFP,2023-08-04 12:30:00+00:00,2023,6.877009338361159,4.126205603016695,-2.6014863370240437,-1.1982600906714969,-3.7891477071742385,-1.425232541902616,True,True,3.194500000000062,11.643000000000029,0.5,0.4621833333333522,25.19130215282439
CPI_2023-08-10,CPI,2023-08-10 12:30:00+00:00,2023,8.937158030523634,5.36229481831418,0.8031452290335097,-1.1566500369985677,0.6430277738970874,-1.314156669628163,False,True,4.3819999999998345,6.0499999999999545,0.4800000000000182,0.43979999999999486,13.756252842201057
NFP_2023-09-01,NFP,2023-09-01 12:30:00+00:00,2023,6.830684854596336,4.098410912757801,1.1115029573582793,-1.1492513196610146,0.9191824905289059,-1.3887852075257814,False,True,5.5900000000001455,7.121499999999969,0.4670000000000982,0.3532166666666702,20.16184589251139
CPI_2023-09-13,CPI,2023-09-13 12:30:00+00:00,2023,5.877498880616696,3.5264993283700177,-1.5137283472750833,0.6016839370790372,-1.8280128251093277,-1.7074967097136455,True,False,-3.3050000000000637,8.309999999999945,0.47199999999998,0.2892333333333416,28.731128270138438
NFP_2023-10-06,NFP,2023-10-06 12:30:00+00:00,2023,7.353904390677838,4.412342634406702,-1.7065861887700533,0.9701098383933325,-2.2718383023641935,0.7902539056713913,True,False,-4.646500000000287,8.989499999999907,0.47199999999998,0.39773333333331873,22.601827019779343
CPI_2023-10-12,CPI,2023-10-12 12:30:00+00:00,2023,12.41049780235301,7.446298681411806,-0.3863570040753095,0.10019344937942083,-0.4958556066542439,-0.00930515319954411,False,False,-2.0549999999998363,3.820500000000038,0.5370000000000346,0.46479999999999866,8.219664371772911
NFP_2023-11-03,NFP,2023-11-03 12:30:00+00:00,2023,8.625643279820071,5.175385967892042,1.3771314920697124,-1.2346543889948425,1.2119986874243913,-1.2979590395140768,False,True,7.216499999999996,9.082999999999856,0.58400000000006,0.41053333333333436,22.12487820720973
CPI_2023-11-14,CPI,2023-11-14 13:30:00+00:00,2023,9.443248267970016,5.66594896078201,-1.6186277026989688,-1.1020328621418987,-1.8813593139972349,-1.214039501169606,True,True,10.470499999999902,17.964999999999918,0.47100000000000364,0.4781166666666726,37.57451110258939
NFP_2023-12-08,NFP,2023-12-08 13:30:00+00:00,2023,10.337342095544258,6.2024052573265545,-1.1223466318613824,1.3683000381142707,-1.2660001441737294,1.2281935368544052,True,False,-9.769999999999982,10.948499999999967,0.5169999999998254,0.4889166666666635,22.393386739389886
CPI_2023-12-12,CPI,2023-12-12 13:30:00+00:00,2023,15.701362376665067,9.42081742599904,0.33764729281578154,-0.5879624080935115,0.2433695927142283,-0.6822401081950648,False,False,4.625,10.981000000000222,0.6599999999998545,0.5880500000000173,18.67358217838602
NFP_2024-01-05,NFP,2024-01-05 13:30:00+00:00,2024,11.636332485958777,6.9817994915752655,-1.1027168582096696,1.4818603731722964,-1.23934295312287,1.3475259510606519,True,False,-11.460000000000036,11.599999999999909,0.6700000000000728,0.5227666666666703,22.189632085697564
CPI_2024-01-11,CPI,2024-01-11 13:30:00+00:00,2024,14.412210425280398,8.647326255168238,-1.1087022586051163,-1.5754361230279386,-1.333525544165494,-2.0887879000985285,True,True,-8.436500000000024,17.7974999999999,0.6469999999999345,0.6650166666666678,26.762487155710186
NFP_2024-02-02,NFP,2024-02-02 13:30:00+00:00,2024,11.159129611919074,6.695477767151444,-1.2069753318645908,1.5263620992274654,-1.3965888358073673,1.407542647103713,True,False,-11.165000000000191,11.605000000000018,0.44000000000005457,0.5005999999999858,23.182181382341884
CPI_2024-02-13,CPI,2024-02-13 13:30:00+00:00,2024,9.7411146313194,5.84466877879164,-1.654229643445981,1.0220554621805173,-1.908195908461038,0.8904229045253051,True,False,-7.211499999999887,14.59900000000016,0.23700000000008004,0.4287833333333462,34.04749873673508
NFP_2024-03-08,NFP,2024-03-08 13:30:00+00:00,2024,11.95307887216392,7.171847323298351,-1.1331328085582735,-0.9574458560618718,-1.307050481895809,-1.1810020651840818,True,False,7.099999999999454,15.525000000000546,0.8600000000001273,0.536216666666716,28.95284866191984
CPI_2024-03-12,CPI,2024-03-12 12:30:00+00:00,2024,19.04355902697094,11.426135416182563,-0.428147341319979,0.24837185948107735,-0.5015876577030014,0.17493154309801517,False,False,-3.5399999999999636,8.909999999999854,0.44000000000005457,0.6863333333333533,12.982030111704121
NFP_2024-04-05,NFP,2024-04-05 12:30:00+00:00,2024,17.449893816035495,10.469936289621296,-1.0811276388778337,0.8897535039668854,-1.175653046924572,0.8072625531044859,True,False,-13.129999999999654,13.598499999999603,0.4399999999995998,0.7756333333333487,17.532124285529246
CPI_2024-04-10,CPI,2024-04-10 12:30:00+00:00,2024,16.025301654135067,9.61518099248104,-1.0874529047529906,1.322850137709008,-1.3624464802321068,1.2210722303804318,True,False,-13.458000000000084,17.15650000000005,0.5799999999999272,0.7053999999999708,24.321661468671337
NFP_2024-05-03,NFP,2024-05-03 12:30:00+00:00,2024,13.803274153403873,8.281964492042324,2.6197685791634973,-1.3262758685519431,2.519207981397063,-1.680037262097579,False,True,23.133499999999913,24.536499999999705,0.3170000000000073,0.6192166666666632,39.625063924851034
CPI_2024-05-15,CPI,2024-05-15 12:30:00+00:00,2024,22.105813914724177,13.263488348834505,0.8533854520251386,-1.1393029950018687,0.7766888867441805,-1.1602072995639636,False,True,12.626500000000306,17.853000000000065,0.5099999999997635,0.8654666666666723,20.628177476505872
NFP_2024-06-07,NFP,2024-06-07 12:30:00+00:00,2024,28.7938843465077,17.27633060790462,-1.1010351434984087,0.9858084587828008,-1.2118916872556744,0.9322557501088263,True,False,-18.628499999999804,19.659499999999753,0.4270000000001346,1.263566666666649,15.558735853536309
CPI_2024-06-12,CPI,2024-06-12 12:30:00+00:00,2024,15.589727892160967,9.35383673529658,0.6721797031451474,-1.5305527779822814,0.554892900836471,-2.0466064291845734,False,True,7.866999999999734,13.299999999999727,0.487999999999829,0.6936499999999948,19.173934981618725
NFP_2024-07-05,NFP,2024-07-05 12:30:00+00:00,2024,13.95712601965929,8.374275611795573,-1.6718699203402947,0.370575395874096,-1.7666123239556815,0.2626975277600675,True,False,-3.875,17.561499999999796,0.44000000000005457,0.615233333333299,28.544454678443046
CPI_2024-07-11,CPI,2024-07-11 12:30:00+00:00,2024,13.52765403055058,8.116592418330349,1.6895467510516884,-1.6091281878962609,1.5805385300644799,-2.052882797511298,False,True,15.940000000000055,18.105000000000018,0.3769999999999527,0.6018999999999778,30.079747466357677
NFP_2024-08-02,NFP,2024-08-02 12:30:00+00:00,2024,21.891574491525805,13.134944694915482,1.2202822754331466,-1.452663885778336,1.1502157756209581,-1.8976843815450792,False,True,17.09999999999991,17.806500000000597,0.32799999999997453,0.846433333333357,21.037096837711296
CPI_2024-08-14,CPI,2024-08-14 12:30:00+00:00,2024,14.053567146210005,8.432140287726003,-0.1080620659651878,-1.4537465082077676,-0.21021750581881551,-1.8532167358205311,False,True,0.20499999999992724,9.420000000000073,0.35399999999981446,0.6253000000000156,15.064768910922497
NFP_2024-09-06,NFP,2024-09-06 12:30:00+00:00,2024,17.82456777005762,10.69474066203457,-1.2202915818546625,-0.7167730609131949,-1.3250537294751477,-0.8224702475698885,True,False,6.828500000000076,17.146499999999833,0.5039999999999054,0.7190000000000054,23.84770514603575
CPI_2024-09-11,CPI,2024-09-11 12:30:00+00:00,2024,13.853456925320843,8.312074155192505,-1.4913046092420248,0.23931036500167727,-2.100739619736272,0.11711836081160977,True,False,-4.890000000000327,13.045000000000073,0.45400000000017826,0.6961166666666714,18.73967486293004
NFP_2024-10-04,NFP,2024-10-04 12:30:00+00:00,2024,14.172376226367742,8.503425735820645,-1.134800349858003,1.653017258772318,-1.0892164861254598,1.52420082242881,True,False,-15.699999999999818,17.13500000000022,0.4339999999997417,0.6314999999999827,27.133808392716844
CPI_2024-10-10,CPI,2024-10-10 12:30:00+00:00,2024,14.483657039240727,8.690194223544436,-1.0323574789264047,-1.2664143880907388,-1.1307182264553908,-1.3159845114871558,True,True,5.808500000000095,19.000499999999647,0.4639999999999418,0.7277833333333168,26.10735795909966
NFP_2024-11-01,NFP,2024-11-01 12:30:00+00:00,2024,19.352157693364493,11.611294616018695,0.47293816336585837,-0.6731011406099219,0.38736189191121645,-0.7586774120645245,False,False,6.369999999999891,9.554999999999836,0.29700000000002547,0.7591833333333398,12.585892735614703
CPI_2024-11-13,CPI,2024-11-13 13:30:00+00:00,2024,16.63728300749588,9.982369804497528,0.7286436129347907,-1.0952218976173118,0.5993837252256904,-1.368986550051829,False,True,9.16800000000012,9.901499999999942,0.8099999999999454,0.83599999999999,11.843899521531172
NFP_2024-12-06,NFP,2024-12-06 13:30:00+00:00,2024,22.52693403560979,13.516160421365875,0.04091027575600356,-0.3206569036535739,-0.05827471896193655,-0.4198418983714804,False,False,2.5335000000000036,8.827000000000226,1.0070000000000618,1.003766666666676,8.793876398897629
CPI_2024-12-11,CPI,2024-12-11 13:30:00+00:00,2024,16.587836200487338,9.952701720292403,-0.2878710153804885,-0.4766639735949698,-0.5196360943335656,-0.7084290525480013,False,False,1.619499999999789,4.570000000000164,1.7970000000000255,0.875033333333325,5.222658184450353
NFP_2025-01-10,NFP,2025-01-10 13:30:00+00:00,2025,23.160183783596555,13.896110270157932,-1.221117432871932,0.32431503581823246,-1.4142337041038038,0.17793846277329467,True,False,-7.626499999999851,12.215500000000247,1.3600000000001273,1.031983333333316,11.836915970865602
CPI_2025-01-15,CPI,2025-01-15 13:30:00+00:00,2025,14.218712458678656,8.531227475207194,0.7728786472007373,-1.1427308061274126,0.6003603426218695,-1.3401576013798255,False,True,8.768000000000029,8.873000000000047,1.1530000000002474,0.841233333333336,10.547608669810222
NFP_2025-02-07,NFP,2025-02-07 13:30:00+00:00,2025,14.426223868014555,8.655734320808733,-0.3119711453606718,-1.576393041223337,-0.49909318954196347,-2.161112778730999,False,True,-0.875,10.7199999999998,1.137000000000171,0.8581166666666226,12.492473828345428
